web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778920013-1","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Recurrent Neural Networks for Time Series Forecasting","By G'abor Petneh'azi. 2019","Published in","Recurrent Neural Networks for Time Series Forecasting","https://api.semanticscholar.org/CorpusID:57373758"
"1778920013-2","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","VINE: Visualizing Statistical Interactions in Black Box Models","By Matthew Britton. 2019","Published in ArXiv.","VINE: Visualizing Statistical Interactions in Black Box Models","https://api.semanticscholar.org/CorpusID:90262367"
"1778920013-3","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Recurrent Neural Networks for Time Series Forecasting","By Gábor Petneházi. 2019","Published in ArXiv.","Recurrent Neural Networks for Time Series Forecasting","https://api.semanticscholar.org/CorpusID:59524118"
"1778920013-4","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Anchor regression: heterogeneous data meets causality","By Dominik Rothenhausler, Nicolai Meinshausen, Peter Buhlmann, Jonas Peters. 2018","Published in","Anchor regression: heterogeneous data meets causality","https://api.semanticscholar.org/CorpusID:88522880"
"1778920013-5","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Preventing Failures Due to Dataset Shift: Learning Predictive Models That Transport","By Adarsh Subbaswamy, Peter Schulam, Suchi Saria. 2018","Published in AISTATS.","Preventing Failures Due to Dataset Shift: Learning Predictive Models That Transport","https://api.semanticscholar.org/CorpusID:67856414"
"1778920013-6","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Transfer Regression via Pairwise Similarity Regularization","By Aubrey Gress, Ian Davidson. 2017","Published in ArXiv.","Transfer Regression via Pairwise Similarity Regularization","https://api.semanticscholar.org/CorpusID:27177855"
"1778920013-7","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","D-vine quantile regression with discrete variables","By Niklas Schallhorn, Daniel Kraus, Thomas Nagler, Claudia Czado. 2017","Published in","D-vine quantile regression with discrete variables","https://api.semanticscholar.org/CorpusID:88515394"
"1778920013-8","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Stochastic Gradient Descent for Linear Systems with Missing Data","By Anna Ma, Deanna Needell. 2017","Published in Numerical Mathematics: Theory, Methods and Applications.","Stochastic Gradient Descent for Linear Systems with Missing Data","https://api.semanticscholar.org/CorpusID:59467500"
"1778920013-9","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Conditional analysis for mixed covariates, with application to feed intake of lactating sows","By So Park, Cai Li, Santa-Maria Mendoza, Eric Heugten, Ana-Maria Staicu. 2016","Published in Journal of Probability and Statistics.","Conditional analysis for mixed covariates, with application to feed intake of lactating sows","https://api.semanticscholar.org/CorpusID:88514388"
"1778920013-10","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Random projections for Bayesian regression","By Leo Geppert, Katja Ickstadt, Alexander Munteanu, Jens Quedenfeld, Christian Sohler. 2015","Published in ArXiv.","Random projections for Bayesian regression","https://api.semanticscholar.org/CorpusID:7293239"
"1778920013-11","https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset","","Versatile Decision Trees for Learning Over Multiple Contexts","By Reem Al-Otaibi, Ricardo Prudêncio, Meelis Kull, Peter Flach. 2015","Published in ECML/PKDD.","Versatile Decision Trees for Learning Over Multiple Contexts","https://api.semanticscholar.org/CorpusID:842412"
